slug,time,space
two-sum,O(n),O(n)
valid-anagram,O(n),O(1)
contains-duplicate,O(n),O(n)
group-anagrams,O(nk),O(nk)
top-k-frequent-elements,O(n),O(n)
encode-and-decode-strings,O(n),O(n)
product-of-array-except-self,O(n),O(1)
longest-consecutive-sequence,O(n),O(n)
valid-palindrome,O(n),O(1)
3sum,O(n^2),O(1)
container-with-most-water,O(n),O(1)
best-time-to-buy-and-sell-stock,O(n),O(1)
longest-substring-without-repeating-characters,O(n),O(n)
longest-repeating-character-replacement,O(n),O(1)
minimum-window-substring,O(n),O(n)
valid-parentheses,O(n),O(n)
binary-search,O(log n),O(1)
find-minimum-in-rotated-sorted-array,O(log n),O(1)
search-in-rotated-sorted-array,O(log n),O(1)
reverse-linked-list,O(n),O(1)
merge-two-sorted-lists,O(n+m),O(1)
linked-list-cycle,O(n),O(1)
reorder-list,O(n),O(1)
remove-nth-node-from-end-of-list,O(n),O(1)
merge-k-sorted-lists,O(n log k),O(k)
invert-binary-tree,O(n),O(n)
maximum-depth-of-binary-tree,O(n),O(n)
same-tree,O(n),O(n)
subtree-of-another-tree,O(m*n),O(n)
lowest-common-ancestor-of-a-binary-search-tree,O(log n),O(1)
binary-tree-level-order-traversal,O(n),O(n)
validate-binary-search-tree,O(n),O(n)
kth-smallest-element-in-a-bst,O(n),O(n)
construct-binary-tree-from-preorder-and-inorder-traversal,O(n),O(n)
binary-tree-maximum-path-sum,O(n),O(n)
serialize-and-deserialize-binary-tree,O(n),O(n)
implement-trie-prefix-tree,,
design-add-and-search-words-data-structure,,
word-search-ii,,
find-median-from-data-stream,,
combination-sum,,
word-search,,
number-of-islands,O(m*n),O(m*n)
clone-graph,O(n),O(n)
pacific-atlantic-water-flow,O(m*n),O(m*n)
course-schedule,O(n+e),O(n+e)
graph-valid-tree,O(n+e),O(n+e)
number-of-connected-components-in-an-undirected-graph,O(n+e),O(n)
climbing-stairs,O(n),O(1)
house-robber,O(n),O(1)
house-robber-ii,O(n),O(1)
longest-palindromic-substring,O(n^2),O(1)
palindromic-substrings,O(n^2),O(1)
decode-ways,O(n),O(1)
coin-change,O(n*a),O(a)
maximum-product-subarray,O(n),O(1)
word-break,O(n^2),O(n)
longest-increasing-subsequence,O(n log n),O(n)
unique-paths,O(m*n),O(n)
longest-common-subsequence,O(m*n),O(m*n)
maximum-subarray,O(n),O(1)
jump-game,O(n),O(1)
insert-interval,O(n),O(n)
merge-intervals,O(n log n),O(n)
non-overlapping-intervals,O(n log n),O(1)
meeting-rooms,O(n log n),O(1)
meeting-rooms-ii,O(n log n),O(n)
rotate-image,O(n^2),O(1)
spiral-matrix,O(m*n),O(1)
set-matrix-zeroes,O(m*n),O(1)
number-of-1-bits,O(1),O(1)
counting-bits,O(n),O(n)
reverse-bits,O(1),O(1)
missing-number,O(n),O(1)
sum-of-two-integers,O(1),O(1)
